"idEvent","projectID","sessionID","lang","pageName","pageTitle","menu","pageOrder","answer","answerCorrect","lastUpdate"
"1","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 12:47:52"
"2","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 12:48:38"
"3","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-03.php","Variabili-Quiz","menu_1","03","2","1","2023-02-24 12:48:44"
"4","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-06.php","Istruzione if-Quiz","menu_3","04","2","1","2023-02-24 12:49:26"
"5","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-07.php","Ciclo for-Quiz","menu_3","05","1","1","2023-02-24 12:49:30"
"6","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-04.php","Tipi di dato-Quiz","menu_3","06","3","1","2023-02-24 12:49:35"
"7","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-05.php","Conversioni-Quiz","menu_3","07","2","1","2023-02-24 12:49:40"
"8","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-08.php","Liste-Quiz","menu_3","08","3","1","2023-02-24 12:49:47"
"9","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-09.php","Dizionari-Quiz","menu_3","09","1","1","2023-02-24 12:49:51"
"10","2","AajisVMK68Dro6ml5M4Tg2GIRhzAewcbrr5eKWSnKOMrHEYr1Xr67uSrweYZgjZ2FFeAcwOqds75XefNA50QiMrXEkkiHC6gPoey5d8AWnLgkEMLWSz4vtwy3N1vmRdfru0gzCUvapg7Kah4ihzd2z","it","quiz-10.php","Funzioni-Quiz","menu_3","010","2","1","2023-02-24 12:50:06"
"11","2","NQQY5VhWyoPI7bj5ndF70yXsOnV7P1Crumv17FFF6pge11NUD0a98L20SpGjVyEvuNz8OBs7dWas1FcxxdK8lEMmwdUQWAvfUduiy2OMp0OeHLiNjTCdy9ZjY1IXtQ4x5kXxzVPS5B1CQJejBfh9lu","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:01:24"
