"sessionID";"SurveyTimestamp";"Q_1";"Q_2";"Q_3";"Q_4";"Q_5";"Q_6";"Q_7";"Q_8";"Q_9";"Q_10";"Q_11";"Q_12";"Q_13";"Q_14";"Q_15";"Q_16";"Q_17";"Q_18";"Q_19";"Q_20";"Q_21";"Q_22";"Q_23";"Q_24";"Q_25";"Q_26";"Q_27";"Q_28"
"RzJeCutKTVJQzGMBNvzdXTiuiPVNnFQDfMpqgoIkDPkJCZAWIxeuIxb8jGUSTpe1GynMHSZUDrwCf7JcqV9P24aN2iz4zcaHobMmLkdul1tf4UUDmCZ9KbKa8sY3PSipe6VKoUIY6fhjEB9VFILBZE";"2024-03-04 23:01:53";"ABBASTANZA";"LISTE E DIZIONARI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";4;3;3;3;4;4;2;4;2;4;3;4;1;4;1;6;6;6;6;6;6;5;6;45;"MASCHIO"
"r7mUyAIxsGrwZUPo9TLoQL0ziVDsFtcEeUrqzAO7srC2pJGczwhY5M1q3z81sPbOAwqJCsdbNaBgnk1ktsBGyINSIIP8IeYNhcunxbSomhja1rOusanimDgRwZvcaQGPTwPuzGxbSOw5NLuQFr16E5";"2024-03-05 22:47:21";"ABBASTANZA";"TIPI DI DATO E CONVERSIONI";"LISTE E DIZIONARI";4;5;4;5;4;4;1;5;2;4;1;5;1;4;1;6;6;6;4;4;5;5;5;22;"FEMMINA"
"9Y7GPZF4NFJV1TURDQ3G2Bf3seBDQb6bRf31GYpQnDkFrgQsutdOBZQsNupcNZHRFsS26UpgMJsEZs6ENgcybOAGmpY81dP4fSjS6j1Ojw29tmwNgntfH8Js3nBKMctgbLYMX3lufxlKEoByHaebGh";"2024-03-06 23:49:41";"ABBASTANZA";"FUNZIONI";"VARIABILI";2;4;4;4;4;4;2;3;4;2;1;4;1;3;1;7;5;6;5;7;6;7;7;24;"FEMMINA"
"wtoAuUKSXCxIFpIq0ULGanzrDPFA4dKpG9PUnstN2H2ASUIHO2PDw6xhYx6hRfBEEuOFSN3pus1QgbYdXRRyBtAdhO6zZqlgxHXRodEOqyGt2bpUauoZE2IBsH39axx0ezgadUg8xIH5l1CHy7pqXe";"2024-03-07 15:29:02";"POCO";"VARIABILI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";3;3;3;3;3;4;2;3;2;3;1;2;1;3;1;4;5;3;3;4;2;5;3;21;"FEMMINA"
"63ViLmwlDsKnqnMHAGqSirm6GSZwiYccqbcS43TWyAoqaZ3JRKp3aOtG06qKc66tUj7S5slbXF2xEFgjNpbJD1mIBQtFkDOTD4RyNGfLNZanPOvw8DRq1jD9KsdnEFDOgUDI9bPjwYdbdsclCGV2aW";"2024-03-07 15:32:30";"POCO";"-1";"-1";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;"-1"
"AQRZZ032ZglKcYCew6KNLvnjL7cFH0mvGyBkbmt7JHKvCYFDZL7xA8VtAzKIO2VxOVjFnGLeyOaAYLyviUqGvqq1KmghvGpEm1Q0dgGfg8hJk7uRZjUxspwwd9gAbAeMUU9aKyjdafDZoigkc9mpV2";"2024-03-07 15:34:42";"ABBASTANZA";"FUNZIONI";"VARIABILI";5;5;5;5;5;4;1;5;1;5;1;5;1;5;2;7;7;7;7;6;6;7;7;21;"MASCHIO"
"LhbB2G7VShXHZmDFUMJCU69l9kXfMvk1XTZfZAk8hIpSfrrFYZfw0jTmTOSQ4i0HWb48wkHIb7EmAoPUcmiLsr67UNXxpTNRaEtQMvpkHEFrWxFkWUCPQO01BbQ90uFrR2XTCn66MivqRjWt7PC2WW";"2024-03-07 15:35:22";"POCO";"TIPI DI DATO E CONVERSIONI";"VARIABILI";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;20;"FEMMINA"
"W5rSsIFGIeVWjHe9bQaiURAPjWLL1BhWUx6r0WvPb88gteqrzOruF08Kv4y9E56uLQwnFjQlilO3lxL3xlp7Cuy1m5IQMeIKbglXRZCMOiy5ejqzu9NyLj61c3FphuKphkxIacNsJ17JBXBdEn8Bj1";"2024-03-07 15:37:42";"POCO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;3;3;2;3;2;2;3;3;4;1;4;1;3;2;6;6;7;7;5;5;6;6;20;"FEMMINA"
"jTEroBCcrAJHqfiU8Z41HsXptj4RfsF7OrMgjwjOh4pWBpZnldeMTHnwwePx12b6vIlKFXmpusAJ9FPzmELJ65RrtCfKkyZMDN6CNcACw4q9t24W6Jl2ySOd1fUjOdCtFwhIksEyTN35mexXpD3LiN";"2024-03-07 15:38:16";"POCO";"LISTE E DIZIONARI";"FUNZIONI";4;3;2;3;3;3;2;3;4;4;2;3;2;3;3;6;5;5;3;5;5;4;5;23;"FEMMINA"
"LllKLN6p9sspvdvT0CvlnTDEHPyNIpasMSszeOyd4I51IRtYy9PHLZrvGl496yH82oRRwXyXgoiW7TP6xvtEiY1qGSv2NJZtIkVrwqvxhBj8wiY28nQ9FlT234vLV4mBzO68dqiCBNIjEAuDOdldtK";"2024-03-07 15:40:10";"ABBASTANZA";"LISTE E DIZIONARI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";4;4;4;4;4;4;2;3;3;4;3;3;2;3;2;5;4;5;5;4;4;5;5;21;"MASCHIO"
"b4f3ABItXcHSKCYidvbtCvgRpT2etwKUqFDa5CHswoWfc1gZpZEhJ0l1JGgmdKwwa28bkjjeMQIdjQnB1u6sR83IIKdVpgu8sfYzeKyde5MSlvommUXke3DElHRDZuP5oIKKXtKhq2EMxq8QBOMiNG";"2024-03-07 15:43:00";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;4;4;4;4;5;2;4;4;3;2;4;2;3;3;6;4;3;3;3;3;3;4;20;"FEMMINA"
"86NjrYvD49C8Mbg0FhizgBztMKudJAKez5Xblr22qhlzDLpPwVBY2el0OBc8d6Vz3SKmRyEp7D42ZA4OdxJ4Th3m5lSI1utnV4rnQM3wM9j5zTQ2lJbF7YASf5nPi8Rnw1q5S0YXydq8cnTNgUEtgy";"2024-03-07 15:43:05";"ABBASTANZA";"FUNZIONI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";4;4;4;4;3;4;2;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;22;"FEMMINA"
"4s7z4j0wTVMaAMCiZ5qVsAzMjnQg0Kbngn9kUbUlZPwvJVjwEx7Gs2BSM3VKc20WHZnriC5UyqpStnMKrGfnLMkbVqG6i4CeDuHQak8yFzjPxPdGcdNfaFORC9vDacEUVBEuu9rQMa1k623oQFos37";"2024-03-07 15:43:11";"ABBASTANZA";"FUNZIONI";"VARIABILI";3;3;3;3;4;2;1;4;1;4;1;4;1;4;2;5;6;5;5;4;4;2;5;22;"MASCHIO"
"ooGeoTicoOqj5o2xHnMLcFXRlVFa0GGNVM4H8lImsvTO7sQJgkVBGEGAGwEvstWs0btFaMv7bi8vVr3D4QquAYKVsGoSJKLw3OMUjyv2wTyfMUSaiQz4VsyOsYMSV4w1KmncKC5hVYKeIZ81L88BtY";"2024-03-07 15:43:53";"POCO";"VARIABILI";"TIPI DI DATO E CONVERSIONI";4;3;4;3;3;1;4;2;5;2;4;1;5;2;5;2;1;3;1;4;4;3;4;20;"FEMMINA"
"ro2YiZlsc8t6ynzDub4pZn2gKUTfnLkB2EdwhjuS2hiwjBIgfBm7xWPyXoBtQtz4U0JSD4Lz13na7WVw9qIN73Zdu26lXhOTF3MVckU1NK94A33ckmPKPQlwYEsGAwnbefNBl0zf7znd2CRExtIFFV";"2024-03-07 15:44:28";"POCO";"LISTE E DIZIONARI";"TIPI DI DATO E CONVERSIONI";4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;6;5;6;7;21;"MASCHIO"
"DRMTJGiE6LR88i6w7B3GQjdYwp4w1SX0lujaeAb1bW7Y7oaG4PlFBaMatRC65RYof4LDqq6dpMU0qYC83HtFxpLG93A42wzsF4dT5hbTOkCa7TU9gtBJ9rbJSsyoF0jmGOpOPfCH2dTxpoKRs0ihKP";"2024-03-07 15:46:15";"MOLTO";"LISTE E DIZIONARI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";5;5;5;5;5;5;1;4;2;5;1;5;1;5;1;7;5;7;5;7;7;7;7;20;"MASCHIO"
"qfvlWiu1y5TjT3pADtZqMHeKwA4JcJUi3ei0MzgY03AgpiK5v36cVtrW7JO1BAvkY5SHhBEIzxiJU74Vj6865Zl6abUkgEb97crsOchr7TEsgktr4T0Mdxy029jdWM5hnss5Bte5w1ioN0NEoH6nx2";"2024-03-07 15:46:42";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;4;4;4;4;4;1;4;3;4;3;4;3;3;4;7;3;5;5;6;5;6;6;21;"FEMMINA"
"gJFX4KxKvBBBm9POJErmILK3qaKU9kYI8cCyZAiMejKkLRKuKkZepEaTpW88ucPbQILJSgMdRA0QG0tKUrAZwmaxdGliIJpoQHYQBKpaGli60aMCVgjPCZHheDiYGgKzF2BvlIBFGxBQ2qvoEpfuNO";"2024-03-07 15:47:51";"POCO";"LISTE E DIZIONARI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";2;2;2;2;2;2;3;2;4;3;4;2;2;2;4;2;5;1;4;1;1;2;4;21;"MASCHIO"
"y3NDrTzeO2cMhWIrIRnugFVUSJMgkgMmPcy0GET0qng26WL5QRFrUOyTKJxRs4aRXvBM8Hz8x2CvBHbJMGjmzCoYsH4dBEiu3bC6tiEZYgkguB2IhI5EsBVldvGykQaw6mMDn0f0Iv70t3zEZCyijv";"2024-03-07 15:47:59";"POCO";"TIPI DI DATO E CONVERSIONI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";3;3;3;3;3;1;3;1;1;3;1;5;5;1;1;1;1;4;7;1;4;4;7;21;"FEMMINA"
"Rnn1AAASq1ool3deYMKxT8RIYQMGj8R8axG1SwbrcL8NM5IdwHiKQCwLiTgV3Vbqtbgs3GYqLlkXOtEfwwfl9qh4QggwXVLhO4wLoAlDvkn2NDinDoXB6r7jtwilJ97gig3yVjA2Psb226s1EJ58AO";"2024-03-07 15:48:24";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;3;3;3;3;2;1;4;2;4;1;5;2;5;2;7;6;7;7;5;6;7;6;21;"FEMMINA"
"rIOmA9tnYANAAO2HrpjS4agg15QPU7WXhc3uZ2pMmZjn2eAVdnbP7frMvti3eiEDESc9WM34Ekj9ZedRM8nTwEpzE65iwWTgv9TPxHKpzUwRULYuRDRCokmpVKEVZjSiBE1tgaITLIYAFOgelaLK9Q";"2024-03-07 15:48:25";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";5;3;3;2;4;4;1;4;2;4;1;4;1;5;2;7;2;6;7;7;7;7;7;21;"FEMMINA"
"6zgHaYKfF5egfLEXfQ42kVVZPU9EDSUzY2lOInLRVTeS5o4dEQuKsc8UcMPCLn9Q5XOViaXMRs5QGArXz3AcetHyygd64ro89gbiZZfr01rsTjmSdGPYevmF4l2o94ZUOoQJDROH1gWai59s2wsUTN";"2024-03-07 15:48:28";"ABBASTANZA";"FUNZIONI";"VARIABILI";5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;7;7;-1;"PREFERISCO NON RISPONDERE"
"Rnn1AAASq1ool3deYMKxT8RIYQMGj8R8axG1SwbrcL8NM5IdwHiKQCwLiTgV3Vbqtbgs3GYqLlkXOtEfwwfl9qh4QggwXVLhO4wLoAlDvkn2NDinDoXB6r7jtwilJ97gig3yVjA2Psb226s1EJ58AO";"2024-03-07 15:48:40";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;3;3;3;3;2;1;4;2;4;1;5;2;5;2;7;6;7;7;5;6;7;6;21;"FEMMINA"
"ZImJoj3NBaT8CIWSkHYIqAomTm34XphYEwLNFFSJUOfhaxIGbFGqhagzsGNxpZ3GVh5i81ucy4c33dKxgBmj55cc0kRHamqaqXVDgsUbl6Bv7bDyXeNPUAYIVtn4SliuX3nPRF4Dy0YbRSj9qsxodb";"2024-03-07 15:48:46";"ABBASTANZA";"FUNZIONI";"VARIABILI";4;4;4;4;4;3;3;4;3;4;3;3;4;4;4;5;3;2;4;-1;3;4;4;21;"FEMMINA"
"3zBJkbEK4iKSC7bUVQur9FOTklbaMn9we7ygjGLm8iEOmypMjxdDYrhDlSp5IeverlSnQsz3ovsOMwbvwxI85JiL9qvQHj3O4Tlo4dxqqcZHTd5zithi2gJ12pkHvGwrdO6kkG4osX2ePadEyDUs5W";"2024-03-07 15:49:42";"POCO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"TIPI DI DATO E CONVERSIONI";2;3;3;3;3;3;4;2;4;3;3;2;3;4;2;5;2;5;4;4;5;5;5;22;"FEMMINA"
"7Y5e3GqKfGxBsDhD5xbHm1ZN1PIcVfMEK0TLNtRsRtknjQxb5ZUOmVVr0quPvJM6YzxTZN9ud2oLrPTT6MEAJ4oWHXnyb9OB6nJVQ8NP5OAcrcdjrDBXuyXWHg4C1lku1hgoxhhi7O7jUwbVWiNHxD";"2024-03-07 15:50:27";"POCO";"FUNZIONI";"TIPI DI DATO E CONVERSIONI";4;5;5;5;5;4;1;5;2;5;5;5;1;5;4;6;5;6;6;5;7;6;6;21;"FEMMINA"
"cAAtaEd8hyYlKcbXlEdjA9ErqA2WASfaewkwaCwr029GZMNsnsKTxuCObE4KUu60S1D8lLtrVWYGbOr2YRwutW5WV0ueMUjHPbX4SJIMwJakfwwKmimD62KPOSZw8uvNxpdaevw6VwxnKfI1sWxUx8";"2024-03-07 15:51:36";"ABBASTANZA";"VARIABILI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";3;2;2;3;2;3;3;2;3;2;2;2;3;2;2;5;4;4;3;4;4;5;4;20;"FEMMINA"
