"question_num";"question_text"
"SurveyTimestamp";"Informazioni cronologiche"
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?"
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?"
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?"
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO"
"Q_5";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA SUL CONCETTO DI VARIABILI"
"Q_6";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DELLE ISTRUZIONI CONDIZIONALI (IF) "
"Q_7";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEI CICLI (FOR)"
"Q_8";"IL TUTORIAL HA CONTRIBUITO A MIGLIORARE LA MIA CONOSCENZA DEL CONCETTO DI FUNZIONE"
"Q_9";"PENSO CHE MI PIACEREBBE UTILIZZARE QUESTO TUTORIAL FREQUENTEMENTE"
"Q_10";"HO TROVATO IL TUTORIAL INUTILMENTE COMPLESSO"
"Q_11";"HO TROVATO IL TUTORIAL MOLTO SEMPLICE DA USARE"
"Q_12";"PENSO CHE AVREI BISOGNO DEL SUPPORTO DI UNA PERSONA GIÀ IN GRADO DI UTILIZZARE IL TUTORIAL"
"Q_13";"HO TROVATO LE VARIE FUNZIONALITÀ DEL TUTORIAL BENE INTEGRATE"
"Q_14";"HO TROVATO INCOERENZE TRA LE VARIE FUNZIONALITÀ DEL TUTORIAL"
"Q_15";"PENSO CHE LA MAGGIOR PARTE DELLE PERSONE POSSANO IMPARARE AD UTILIZZARE IL TUTORIAL FACILMENTE"
"Q_16";"HO TROVATO IL TUTORIAL MOLTO DIFFICILE DA UTILIZZARE"
"Q_17";"MI SONO SENTITO A MIO AGIO NELL’UTILIZZARE IL TUTORIAL"
"Q_18";"HO AVUTO BISOGNO DI IMPARARE MOLTI PROCESSI PRIMA DI RIUSCIRE AD UTILIZZARE AL MEGLIO IL TUTORIAL"
"Q_19";"-1-"
"Q_20";"-2-"
"Q_21";"-3-"
"Q_22";"-4-"
"Q_23";"-5-"
"Q_24";"-6-"
"Q_25";"-7-"
"Q_26";"-8-"
"Q_27";"ETA' (ANNI COMPIUTI, NEL 2024):"
"Q_28";"GENERE"
"sessionID";"Form blueprint"
