sessionID;TotalTimeHH;TotalTimeDD;CaseLength
0EX2RQEBMikyd0UhtMdNCZN20ji7b9QuBW5V7u1BkrXbY1HA8fxyJTRPeS30Ub6jt8XnTZaWvdNFwG0NQQRNUCscHwuHkMzdt59WUK5Vhfpu3EaxTagEJgXEdlrNcfYVppiCqd1HKoZmw4tTWw5Jjw;0.0;0.0;1
0TAvrBxVOZzjQMF0SpnzzJcGjFpBAC6ypEzWWDh2F1lZUXpiVcY7ZJaOqGykdy6aOB0HGJqwX4JPnBC75mnAo808IuWh1FTUOrGlPF7GQjD6WilowVSMJWAJ2r1GrX8w4xsD8Rp7vomBRcnP6uGaqZ;0.0;0.0;1
0YvfVDX5PlRQ0KPKbgiedN99LSpkkzsQfjoKFzU5UPuKEJEcq1n7ykNxemYTVASLcC4w95IEFMGkuqLwGheMMXisGBtaPpn24K8JtFlIEljiHSfnqznKLlHsJpKcxGevIleV0r9Ak8EYtMKOlEbOz7;0.0;0.0;1
0oKdvtSTafWG9OJThrpBlW1O9hoMUZUbZEnScFZra7LuuJOTpvZI0guGhnSHvpNXuyKHM81bJ3Z04FWQMMKmBX4rgKNMB3qsBVOpaOpiOLYm0scwySM3KBU0LKm8KAIVjG8aw8INLrJg92DVPdJysQ;0.0;0.0;1
1Dl3Xy7445e1ffCF0yHJgP2nl01duTtxDVS37M7rFgbdph3i0a9orEdowQLq1vk8Yxnk5lHggg1taG5XRvSLlC2dBZc3R6QWJJRvk3Y9OXezoybOvpTyURaf8XAefkOq8BS7bqmpPnaocY8j9nAyov;0.0;0.0;1
1H54ooyCAdffGkM9ZeqTmK1yDeWSfVuEmTFF5bWLNhYkb8yMPGb32rPgI7O4JiHSlfazJvwu5XDdNMv7f0SEDibWsGaWjtKL9odxDarCxBLo37REftMssHzGbgtzHq0aSF2QOFCwYdh5SCa5Nw5NK2;0.0;0.0;1
1TDa4oayJ5SjMS8Vq0LtAXHAL3A32LwZSdAWndLKYR3cynjey1WGmmSJUhYgURGUKDcqRQ11AGaD6YxmBTZxamChsH35UcT5mrg2fxUWiB2zddxe0RnRgKXvCeFAqamkDm7GZohWgk9vKLtx4ryWn3;0.0;0.0;1
1UxwVBbT7tUiJ3SCVmBTMqxw7A3ZtG75oURtNPetAtMgCPocIziQgm8VLh09JrK2rI26KPQe1h449hy4GtbuMpRPOKp0ilR7IylBlWWhMFmFLfFmwFYFdm39RPNyOVRiJzcerI3OsAGP3I2OUgqBhd;0.0;0.0;1
1Z4RsAgc1sbUrWy1jR1IuvD6QvE6pJsS8kfhlkH1eRelMznU7lz0c5DFUh0R4yXVOysvu0jnIbgM9Kkl7R4nRjg84nUmOUUQBjHYVTIxOgnRuxykdxoOcLoIHkWf4rUdqT4eSdBciv6K9N70bajdss;0.0;0.0;1
1bNDaSbT5qjt3yyze6rnpNnIpgdRW9Ojqdy2H4wRTjhXbeS977CXhO6f30tf5F7i7EeWnSGKMFHvzYxcRPtyZd2I4lbJVXvzmIvn8UTcOm5JbCtzSlwTQ6iy1aWMw4K3TFwZn7CUQqKsjFNkbSyF1k;0.0;0.0;1
1wgqIzziseB7NtOiSqKIjXDV4kRxRls1LpzbKTsgnI580IZIHkEdns9CmvFCvMXPlqRTf2U9uZoV56ywU7Pf4LWMMy8BZ0W0n5RGB2W7uRHZ7FfaPVXivufaSZjjuK7W7eY8OPn0dHlNGtt0Lhi9aS;0.0;0.0;1
2D5Z75hlS1nHfmt7XcHQMoMnvzQjxK4JKUbjnh9hQqbpp7aFdOBgnxwlk8knV4wSmS5N2fRqR4ZefoplLUI9YsqTnE4RhUHQ6y9kDrwizLX2RqLSaldITJ9tu1mGcMUz8MElwJeVkPdw4Ap8uBYzzX;0.0;0.0;1
2GLImxpvgFOOGcWMvlqn4C5mAqucDpy5LCXrNrSk0wX65GewbmCu2mu23Njrnl1YZ6Bp8DI7dzQsbg6xdTAbguVmBgAf8jBaLv3YiAt0pY9IDuc3MrY6JazN23Fd882dyzMNmjo0CJGoHtR5ArCOXP;0.0;0.0;1
2HVkahv4lndQiLyIEmBZyHftTCHwQ3VhqqTAcsgtLuzenpRU9al1fD6Swj6dp8hbEOOwHNSLw6ToeBY9eGZwpNKioOrTIaaDM3TXnV1Kfh9IH9XWonZPinShw9Q12fPHtQUtWbIAECDlSzd7HwC38R;0.0;0.0;1
2UiZwjdVv0voHsgySfQoC7mJ6J2m9hKJjlYfXPujaLVTzBTi48b3ayP69u8gDfJcYNjt762qDb9PuRdM6pYEvTaZ0BIgBgMFivrJM5fwpglWLxIvB09l2HVtRPKUpBLBvVgSiOBT72EpujjJ8zv98I;0.0;0.0;1
2kLdjVucahW96p40ZW0xE2kUDliMTopgPN7NPVsUN8PhG75jfj3nge0eKdzcSZOL1tAErDnB1V9rbDNmW5lJw7lLSOulcoRWj9BNB6aboz809UWkYc1NpZlcHKJjM4o6cKlYZ47CAqy0prVJbZG810;0.0;0.0;1
2ydAdjSKYiIHoRgxtGrHTqnznQ8tGaLW0BHmeOa9CnZ0ZVDW9eGvyERGG9zN1lwn45aaZYmCXkCSUkaBvTBoGENo2H76BmQ60NdZYsYtDGAS1iPhJ17B3B9LhhnKPjYbqWQkzj3GIw7GMf5lt5B88n;0.0;0.0;1
32UjvEsMZbRgPbDFAKMvgeCzF07xurUvVyKr4zMEneHREiu1S8HRVws5DF2afiV3WPHjtWvr6AZ1f8yiefmnhdv1sUhA4eCd3v35ZRVdjCvAgNbqCEYvXQW4IAPPmn1hrZVjTKewo14cLBHJuHcDb4;0.0;0.0;1
3BttrQJM5v5m0Uzdn1HiXM67WUdaawb77ckp7spS3SnnE1DCqnJgtChK6EWRgriUJattHBYPcUSzUj6RRDd0ItZcQXIT7ZB1CWAKvyZNqsYSV02SWYSC57WpS6iUhIcgDlbha4CiIUoVOHhMSH27MN;0.0;0.0;1
3Lv2WFOSDdNevcLUt8Ktkrm70zaiRVPbnM15hPHpeTaST6uRRB37OzSmim1wQ1wqWGWmrys9FSDDlMXTavbqKAxSVv97NQ9MsdlLTuTuyFqLnTR4CLN7u7d6gSeh4YrgZREuCPlh63RioiNNcv4APk;0.0;0.0;1
