sessionID;DistinctMenuValues
WiASsPPibAZ4QAQAaoAkXLhrad2qvZ70LProCLVPfQSk1u2sfC6y4x5unthz7GLXLzhw0YxjeitVC95RII5E52HqcQcz3SFIgS7AH1JtP5yRYLnMDqoVJJy2bzWmzIW9Xh7oeerrQRzwrwKTyI8KRk;['menu_1']
UMMMr8yWb4WNhxqRMZx6QBwMc4qaqWEJoaO0tWRPcYXu7S2FNVTVK2z8h0hFCrEYcESgICB9gsjYnes5ZXd58RtwwbZe3OzXOOXTriACtCjUGdyA6OFKmg7a89qfhc7r1RppTCpUnBxrGn89w9bGOB;['menu_1']
1rMYOLLA5C5XwpUKYVMN1KWW4wQA5BknOapADkIgbZPIE60mnbcsBI2XhY0AKcpTNRCbfmTaXmbbqWIR1AFyUMUtLuwEip6VvP786kCgmUj7CAVcvixJ6CQubxZxidR80ATK2lkeKLH6ZU3SOxsT2w;['menu_1']
6K9LHcx2lu4YAuCoymVGgIjQcurrUX5IPwdzxvzEmi4Zt09uu6B7QDjTe24aMwTj4dvQKaGzP7ubJaiQSW0fMs3RT01ZiSXGOgz4p3bQ86fox52LgBWmyNWNV2CrduaVAk4EPIbfsav9NZn35ESJ44;['menu_1']
9nfi9oaHjo4TKoxEr9JjiEH4aKL1AD0myM2EwHRhoBxBs4lTDq58zmtev3yzjKcSxQ48gfHAKneK9V8zHuxTjjbdcmrIqg7fKRloO3BFsG0vwnC8dC7oiXko73mZSbVpKxaXZ3Fqf8tqftP8P7Vo8C;['menu_1']
qWOs7nSrMAZQExF6lePDdWmD0NuoGsmMuOLB2FiqPwuAKRdvDVDOIBaHmRtaYC4N1yDokx5MMRwqZtGtMbA5gDThLYDPMoRgk14EFHnUWM727XEXD8UbBuH0eKFfSlneaIaSeKvX0sHNwPmnao8AbY;['menu_1']
vDxiDhSojxe0aAAtP95Ib4hnFdXzr9pcj8DVO74BcRJPxd4cppkzujI9ZIlaxQWphGaHrZivpDySFonqOglBibWS30iRQUe3XLUcWP88y6Vv7HG1dKlNjtAUe0e95CGfTAJ4fUChmV4JIom4ysw2Zm;['menu_1']
YBDj49F3es9jE9VHv0BZdOjjWYplJflCDNqrEp73KOB4GrleoVhkre5B7vissZJ7scl9mwCPAmPkBVPZg5kVERcOMrb9PH0SCs9L0fQECTct1PCUdN6W4FLU3aqoVOtE6GoVfL9KCwpHqDRviCgL7o;['menu_1']
YfnvFaqcOUhCnYIqKMSSuFslN9z2pPRVfED6B5iE3Nnp080MAAFDDsA84YsgLWIC3xQiel052AbbBWPtLgHPvSX41LExhyhDQiBvxnh4LlXPmjxrsJpRQwLWstZKVe4ylHAGcDKRAyY7q6sQI5k1kb;['menu_1']
Oz6lfBkxoqk8cANN6K2gwlXWUwiV697EHzMrVmdIoky474KIg28ed2GsA2FcbMWLVB4Zut72sVsw9QZNX50g68vju2SutAAQKHMNs6aCRYUCj2eFWyfJgWtWJPuLNI3zamiaD1VOueIvE0wyBZxo4K;['menu_1']
9vLoYmX73GIfXt3EKpZiIEgvHNLvaj5aP45wC9bhyQQyOywE2P1xNETYIsYE1WfjRuHeVbCAck1ZwAeWaBt38Qi6W5Xj3DVt6r4fcnvEG6BvlmzBbB4GoXSUadiJoN8lGarSEgV6G6nwPCS3Lyt5d1;['menu_1']
Yz6o2RzSDeo66NYzdIGMGTwafkS8ut9OFSYvIn8ebBZUugKicwDEO0vdCjLJZpWYzw4UVXrhq0HWy5404SKnl0a2eD5emXq3fdZTgELk4gWnYuZN7uGg2BRXKc26ePcLfV0pxoyUQMNudBwlW37rQJ;['menu_1']
D9aYpwui0zcHrBA6trNBhAMCqpmFq2s9J871B0z0RlEFdHj0KpvDI1Jxlo9f8G8P3amFSUUyx07kIaeBYVoi1hm5L3ivB50vvHMHZbuGaUhARt9Xy3NMdpwW1FrOFgxJbWTMqZqiX5wrhiKq0Vmd0c;['menu_1']
n7axjK6zb1E4H1yx8I94eEn2v47Bnp7TU39JV4mqKATfkQUS1jekuyZwqkQEzRjwbFFVGN8tjRqm5ZDpCz0wrK5MuTWpdApcM0HQaQazLbeYbh8ThNx4jDYemQ0JTucDzmLTu5nZ0UKe7rDOfNq8Hq;['menu_1']
wLMml8eBUoROftsRBBbYkXf3I6IjaGkmhRDQH3psEtunA1LRGE2E5VrGLcCrlB7iR6dN5QuVf5ZlV1melDIKGU77N3sqSgSlJx4vDCGLzZWeYzYAZ8VxtsenfZG7d8zBsOFC54Q3sJiLJ2zBrw8U4S;['menu_1']
MQMHWciGyeFmeiBUp6VEWLCxxcD87ZfqWECLtmiqjGmiHzx9Pcya4bLqZiTE2LJzU9rFWRMXDs1INZT4Tu7OuMTpklkdO8cO2H36qlB4UzU2tyox1540w0KQY8u9FLMxSpgQMk9iJgIJOG6HDISH15;['menu_1']
