"question_no";"question_text";"answer_value";"answer_sum";"answer_ratio"
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"-1";3;0.008
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"ABBASTANZA";199;0.541
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"MOLTO";56;0.152
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"PER NIENTE";14;0.038
"Q_1";"QUANTO RITIENI DI AVER MIGLIORATO LA TUA CONOSCENZA DI PYTHON?";"POCO";96;0.261
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"-1";9;0.024
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"FUNZIONI";128;0.348
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";124;0.337
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"LISTE E DIZIONARI";63;0.171
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"TIPI DI DATO E CONVERSIONI";32;0.087
"Q_2";"QUALE ARGOMENTO E' STATO PIU' DIFFICILE DA CAPIRE ?";"VARIABILI";12;0.033
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"-1";9;0.024
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"FUNZIONI";20;0.054
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";60;0.163
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"LISTE E DIZIONARI";77;0.209
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"TIPI DI DATO E CONVERSIONI";43;0.117
"Q_3";"QUALE ARGOMENTO E' STATO PIU' FACILE DA CAPIRE ?";"VARIABILI";159;0.432
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";-1;2;0.005
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";1;10;0.027
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";2;37;0.101
"Q_4";"IL TUTORIAL HA CONTRIBUITO AL MIO APPRENDIMENTO IN QUESTO CORSO";3;142;0.386
